"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"b","29.42",1.25,"u","g","c","h",0.25,"f","t","02","t","g","00400",108,"-"
"a","18.42",9.25,"u","g","q","v",1.21,"t","t","04","f","g","00060",540,"+"
"b","35.17",4.5,"u","g","x","h",5.75,"f","f","0","t","s","00711",0,"+"
"b","56.58",18.5,"u","g","d","bb",15,"t","t","17","t","g","00000",0,"+"
"b","39.17",1.71,"u","g","x","v",0.125,"t","t","05","t","g","00480",0,"+"
"b","42.08",1.04,"u","g","w","v",5,"t","t","06","t","g","00500",10000,"+"
"a","22.67",0.75,"u","g","c","v",2,"f","t","02","t","g","00200",394,"-"
"b","18.33",1.21,"y","p","e","dd",0,"f","f","0","f","g","00100",0,"-"
"b","59.67",1.54,"u","g","q","v",0.125,"t","f","0","t","g","00260",0,"+"
"b","27.83",1.54,"u","g","w","v",3.75,"t","t","05","t","g","00100",3,"+"
"a","20.67",3,"u","g","q","v",0.165,"t","t","03","f","g","00100",6,"+"
"a","31.75",3,"y","p","j","j",0,"f","f","0","f","g","00160",20,"-"
"b","24.75",0.54,"u","g","m","v",1,"f","f","0","t","g","00120",1,"-"
"b","31.92",4.46,"u","g","cc","h",6.04,"t","t","03","f","g","00311",300,"+"
"a","23.50",1.5,"u","g","w","v",0.875,"f","f","0","t","g","00160",0,"-"
"b","22.25",9,"u","g","aa","v",0.085,"f","f","0","f","g","00000",0,"-"
"b","40.92",0.835,"u","g","ff","ff",0,"t","f","0","f","g","00130",1,"-"
"b","32.33",3.5,"u","g","k","v",0.5,"f","f","0","t","g","00232",0,"-"
"b","25.33",0.58,"u","g","c","v",0.29,"t","t","07","t","g","00096",5124,"+"
"a","24.83",4.5,"u","g","w","v",1,"f","f","0","t","g","00360",6,"-"
"a","24.50",0.5,"u","g","q","h",1.5,"t","f","0","f","g","00280",824,"+"
"b","21.08",4.125,"y","p","i","h",0.04,"f","f","0","f","g","00140",100,"-"
"b","22.67",0.165,"u","g","c","j",2.25,"f","f","0","t","s","00000",0,"+"
"a","24.75",3,"u","g","q","h",1.835,"t","t","19","f","g","00000",500,"+"
"b","22.92",0.17,"u","g","m","v",0.085,"f","f","0","f","s","00000",0,"-"
"b","29.58",4.75,"u","g","m","v",2,"f","t","01","t","g","00460",68,"-"
"b","34.42",4.25,"u","g","i","bb",3.25,"t","t","02","f","g","00274",610,"+"
"b","32.42",3,"u","g","d","v",0.165,"f","f","0","t","g","00120",0,"-"
"a","25.08",2.54,"y","p","aa","v",0.25,"t","f","0","t","g","00370",0,"+"
"a","22.67",0.335,"u","g","q","v",0.75,"f","f","0","f","s","00160",0,"-"
"a","20.08",1.25,"u","g","c","v",0,"f","f","0","f","g","00000",0,"-"
"b","23.92",0.585,"y","p","cc","h",0.125,"f","f","0","f","g","00240",1,"-"
"b","32.08",4,"u","g","m","v",2.5,"t","f","0","t","g","00360",0,"+"
"b","48.17",7.625,"u","g","w","h",15.5,"t","t","12","f","g","00000",790,"+"
"b","34.75",15,"u","g","r","n",5.375,"t","t","09","t","g","00000",134,"+"
"b","28.67",14.5,"u","g","d","v",0.125,"f","f","0","f","g","00000",286,"-"
"b","29.25",13,"u","g","d","h",0.5,"f","f","0","f","g","00228",0,"-"
"a","27.33",1.665,"u","g","ff","ff",0,"f","f","0","f","g","00340",1,"-"
"b","41.17",1.335,"u","g","d","v",0.165,"f","f","0","f","g","00168",0,"-"
"b","30.58",2.71,"y","p","m","v",0.125,"f","f","0","t","s","00080",0,"-"
"b","22.67",10.5,"u","g","q","h",1.335,"t","f","0","f","g","00100",0,"+"
"b","56.75",12.25,"u","g","m","v",1.25,"t","t","04","t","g","00200",0,"+"
"a","18.83",9.5,"u","g","w","v",1.625,"t","t","06","t","g","00040",600,"+"
"a","19.17",8.585,"u","g","cc","h",0.75,"t","t","07","f","g","00096",0,"+"
"b","26.67",1.75,"y","p","c","v",1,"t","t","05","t","g","00160",5777,"+"
"b","23.00",0.625,"y","p","aa","v",0.125,"t","f","0","f","g","00180",1,"-"
"b","33.00",2.5,"y","p","w","v",7,"f","f","0","t","g","00280",0,"-"
"b","31.67",16.165,"u","g","d","v",3,"t","t","09","f","g","00250",730,"+"
"b","32.75",1.5,"u","g","cc","h",5.5,"t","t","03","t","g","00000",0,"+"
"a","37.33",2.5,"u","g","i","h",0.21,"f","f","0","f","g","00260",246,"-"
"b","51.83",3,"y","p","ff","ff",1.5,"f","f","0","f","g","00180",4,"-"
"a","58.67",4.46,"u","g","q","h",3.04,"t","t","06","f","g","00043",560,"+"
"b","16.17",0.04,"u","g","c","v",0.04,"f","f","0","f","g","00000",0,"+"
"a","18.75",7.5,"u","g","q","v",2.71,"t","t","05","f","g","?",26726,"+"
"b","47.33",6.5,"u","g","c","v",1,"f","f","0","t","g","00000",228,"-"
"b","48.08",3.75,"u","g","i","bb",1,"f","f","0","f","g","00100",2,"-"
"b","22.00",7.835,"y","p","i","bb",0.165,"f","f","0","t","g","?",0,"-"
"b","21.00",4.79,"y","p","w","v",2.25,"t","t","01","t","g","00080",300,"+"
"a","52.17",0,"y","p","ff","ff",0,"f","f","0","f","g","00000",0,"-"
"b","31.83",0.04,"y","p","m","v",0.04,"f","f","0","f","g","00000",0,"-"
"b","16.33",4.085,"u","g","i","h",0.415,"f","f","0","t","g","00120",0,"-"
"a","27.58",3,"u","g","m","v",2.79,"f","t","01","t","g","00280",10,"-"
"a","57.08",19.5,"u","g","c","v",5.5,"t","t","07","f","g","00000",3000,"+"
"b","51.83",2.04,"y","p","ff","ff",1.5,"f","f","0","f","g","00120",1,"-"
"a","?",1.5,"u","g","ff","ff",0,"f","t","02","t","g","00200",105,"-"
"b","21.33",7.5,"u","g","aa","v",1.415,"t","t","01","f","g","00080",9800,"+"
"b","23.08",2.5,"u","g","ff","ff",0.085,"f","f","0","t","g","00100",4208,"-"
"b","37.50",0.835,"u","g","e","v",0.04,"f","f","0","f","g","00120",5,"-"
"a","38.25",6,"u","g","k","v",1,"t","f","0","t","g","00000",0,"+"
"b","27.58",3.25,"y","p","q","h",5.085,"f","t","02","t","g","00369",1,"-"
"b","27.67",13.75,"u","g","w","v",5.75,"t","f","0","t","g","00487",500,"+"
"b","38.25",10.125,"y","p","k","v",0.125,"f","f","0","f","g","00160",0,"-"
"b","32.08",4,"y","p","cc","v",1.5,"f","f","0","t","g","00120",0,"-"
"b","21.17",0.25,"y","p","c","h",0.25,"f","f","0","f","g","00280",204,"-"
"a","65.17",14,"u","g","ff","ff",0,"t","t","11","t","g","00000",1400,"+"
"b","37.33",2.665,"u","g","cc","v",0.165,"f","f","0","t","g","00000",501,"-"
"b","25.17",6,"u","g","c","v",1,"t","t","03","f","g","00000",0,"+"
"a","33.25",2.5,"y","p","c","v",2.5,"f","f","0","t","g","00000",2,"-"
"a","50.08",12.54,"u","g","aa","v",2.29,"t","t","03","t","g","00156",0,"+"
"b","24.58",12.5,"u","g","w","v",0.875,"t","f","0","t","g","00260",0,"-"
"b","39.92",5,"u","g","i","bb",0.21,"f","f","0","f","g","00550",0,"-"
"a","15.75",0.375,"u","g","c","v",1,"f","f","0","f","g","00120",18,"-"
"b","28.00",3,"u","g","w","v",0.75,"f","f","0","t","g","00300",67,"-"
"b","?",0.375,"u","g","d","v",0.875,"t","f","0","t","s","00928",0,"-"
"b","29.50",0.58,"u","g","w","v",0.29,"f","t","01","f","g","00340",2803,"-"
"b","49.17",2.29,"u","g","ff","ff",0.29,"f","f","0","f","g","00200",3,"-"
"b","28.75",1.5,"y","p","c","v",1.5,"t","f","0","t","g","00000",225,"-"
"b","48.08",6.04,"u","g","k","v",0.04,"f","f","0","f","g","00000",2690,"+"
"b","43.17",5,"u","g","i","bb",2.25,"f","f","0","t","g","00141",0,"-"
"b","37.75",7,"u","g","q","h",11.5,"t","t","07","t","g","00300",5,"-"
"b","80.25",5.5,"u","g","?","?",0.54,"t","f","0","f","g","00000",340,"-"
"b","31.83",2.5,"u","g","aa","v",7.5,"t","f","0","t","g","00523",0,"-"
"a","23.75",0.71,"u","g","w","v",0.25,"f","t","01","t","g","00240",4,"-"
"b","27.00",0.75,"u","g","c","h",4.25,"t","t","03","t","g","00312",150,"+"
"a","26.17",2,"u","g","j","j",0,"f","f","0","t","g","00276",1,"-"
"b","48.75",26.335,"y","p","ff","ff",0,"t","f","0","t","g","00000",0,"-"
"b","19.00",1.75,"y","p","c","v",2.335,"f","f","0","t","g","00112",6,"-"
"a","30.42",1.375,"u","g","w","h",0.04,"f","t","03","f","g","00000",33,"-"
"b","21.17",0,"u","g","c","v",0.5,"f","f","0","t","s","00000",0,"-"
"a","38.92",1.665,"u","g","aa","v",0.25,"f","f","0","f","g","00000",390,"-"
"b","26.75",2,"u","g","d","v",0.75,"f","f","0","t","g","00080",0,"-"
"a","28.42",3.5,"u","g","w","v",0.835,"t","f","0","f","s","00280",0,"+"
"b","20.42",1.085,"u","g","q","v",1.5,"f","f","0","f","g","00108",7,"-"
"b","27.58",2.04,"y","p","aa","v",2,"t","t","03","t","g","00370",560,"+"
"b","22.50",11.5,"y","p","m","v",1.5,"f","f","0","t","g","00000",4000,"-"
"a","68.67",15,"u","g","e","z",0,"t","t","14","f","g","00000",3376,"+"
"b","47.67",2.5,"u","g","m","bb",2.5,"t","t","12","t","g","00410",2510,"+"
"b","34.00",5.085,"y","p","i","bb",1.085,"f","f","0","t","g","00480",0,"-"
"b","33.17",3.04,"y","p","c","h",2.04,"t","t","01","t","g","00180",18027,"+"
"b","?",4,"y","p","i","v",0.085,"f","f","0","t","g","00411",0,"-"
"b","21.92",0.5,"u","g","c","v",0.125,"f","f","0","f","g","00360",0,"-"
"a","25.42",1.125,"u","g","q","v",1.29,"t","t","02","f","g","00200",0,"-"
"b","48.50",4.25,"u","g","m","v",0.125,"t","f","0","t","g","00225",0,"+"
"b","23.08",11.5,"u","g","i","v",3.5,"t","t","09","f","g","00056",742,"+"
"b","19.17",9.5,"u","g","w","v",1.5,"t","f","0","f","g","00120",2206,"+"
"a","71.58",0,"?","?","?","?",0,"f","f","0","f","p","?",0,"+"
"b","21.50",9.75,"u","g","c","v",0.25,"t","f","0","f","g","00140",0,"-"
"b","34.92",2.5,"u","g","w","v",0,"t","f","0","t","g","00239",200,"+"
"b","29.83",1.25,"y","p","k","v",0.25,"f","f","0","f","g","00224",0,"-"
"b","23.75",0.415,"y","p","c","v",0.04,"f","t","02","f","g","00128",6,"-"
"a","31.92",3.125,"u","g","ff","ff",3.04,"f","t","02","t","g","00200",4,"-"
"b","34.92",5,"u","g","x","h",7.5,"t","t","06","t","g","00000",1000,"+"
"a","22.25",1.25,"y","p","ff","ff",3.25,"f","f","0","f","g","00280",0,"-"
"b","?",0.5,"u","g","c","bb",0.835,"t","f","0","t","s","00320",0,"-"
"a","16.50",1.25,"u","g","q","v",0.25,"f","t","01","f","g","00108",98,"-"
"a","44.17",6.665,"u","g","q","v",7.375,"t","t","03","t","g","00000",0,"+"
"a","21.67",11.5,"y","p","j","j",0,"t","t","11","t","g","00000",0,"+"
"b","40.58",1.5,"u","g","i","bb",0,"f","f","0","f","s","00300",0,"-"
"b","35.00",3.375,"u","g","c","h",8.29,"f","f","0","t","g","00000",0,"-"
"b","37.58",0,"?","?","?","?",0,"f","f","0","f","p","?",0,"+"
"a","32.17",1.46,"u","g","w","v",1.085,"t","t","16","f","g","00120",2079,"+"
"a","27.67",1.5,"u","g","m","v",2,"t","f","0","f","s","00368",0,"-"
"b","21.25",1.5,"u","g","w","v",1.5,"f","f","0","f","g","00150",8,"+"
"b","20.50",2.415,"u","g","c","v",2,"t","t","11","t","g","00200",3000,"+"
"a","26.92",13.5,"u","g","q","h",5,"t","t","02","f","g","00000",5000,"+"
"b","39.92",6.21,"u","g","q","v",0.04,"t","t","01","f","g","00200",300,"+"
"a","28.58",3.54,"u","g","i","bb",0.5,"t","f","0","t","g","00171",0,"-"
"b","19.58",0.585,"u","g","ff","ff",0,"f","t","03","f","g","00350",769,"-"
"b","18.83",3.54,"y","p","ff","ff",0,"f","f","0","t","g","00180",1,"-"
"a","18.83",9.54,"u","g","aa","v",0.085,"t","f","0","f","g","00100",0,"+"
"b","19.50",9.585,"u","g","aa","v",0.79,"f","f","0","f","g","00080",350,"-"
"b","21.17",0.875,"y","p","c","h",0.25,"f","f","0","f","g","00280",204,"-"
"a","28.50",3.04,"y","p","x","h",2.54,"t","t","01","f","g","00070",0,"+"
"b","54.42",0.5,"y","p","k","h",3.96,"t","f","0","f","g","00180",314,"+"
"b","76.75",22.29,"u","g","e","z",12.75,"t","t","01","t","g","00000",109,"+"
"a","22.67",7,"u","g","c","v",0.165,"f","f","0","f","g","00160",0,"-"
"b","19.17",0,"y","p","m","bb",0,"f","f","0","t","s","00500",1,"+"
"a","24.58",0.67,"u","g","aa","h",1.75,"t","f","0","f","g","00400",0,"-"
"a","33.67",0.375,"u","g","cc","v",0.375,"f","f","0","f","g","00300",44,"+"
"b","17.08",0.085,"y","p","c","v",0.04,"f","f","0","f","g","00140",722,"-"
"b","?",5,"y","p","aa","v",8.5,"t","f","0","f","g","00000",0,"-"
"b","31.25",2.835,"u","g","ff","ff",0,"f","t","05","f","g","00176",146,"-"
"b","18.42",10.415,"y","p","aa","v",0.125,"t","f","0","f","g","00120",375,"-"
"a","18.25",10,"u","g","w","v",1,"f","t","01","f","g","00120",1,"-"
"a","49.00",1.5,"u","g","j","j",0,"t","f","0","t","g","00100",27,"-"
"a","69.50",6,"u","g","ff","ff",0,"f","f","0","f","s","00000",0,"-"
"b","20.75",5.085,"y","p","j","v",0.29,"f","f","0","f","g","00140",184,"-"
"b","48.25",25.085,"u","g","w","v",1.75,"t","t","03","f","g","00120",14,"+"
"b","17.67",4.46,"u","g","c","v",0.25,"f","f","0","f","s","00080",0,"-"
"a","36.58",0.29,"u","g","ff","ff",0,"f","t","10","f","g","00200",18,"-"
"a","57.58",2,"u","g","ff","ff",6.5,"f","t","01","f","g","00000",10,"-"
"b","36.67",3.25,"u","g","q","h",9,"t","f","0","t","g","00102",639,"+"
"a","22.42",11.25,"y","p","x","h",0.75,"t","t","04","f","g","00000",321,"+"
"b","37.50",1.125,"y","p","d","v",1.5,"f","f","0","t","g","00431",0,"+"
"b","19.33",9.5,"u","g","q","v",1,"t","f","0","t","g","00060",400,"+"
"b","35.00",2.5,"u","g","i","v",1,"f","f","0","t","g","00210",0,"-"
"b","20.08",0.25,"u","g","q","v",0.125,"f","f","0","f","g","00200",0,"-"
"b","17.25",3,"u","g","k","v",0.04,"f","f","0","t","g","00160",40,"-"
"a","17.33",9.5,"u","g","aa","v",1.75,"f","t","10","t","g","00000",10,"-"
"a","33.75",0.75,"u","g","k","bb",1,"t","t","03","t","g","00212",0,"-"
"b","23.25",12.625,"u","g","c","v",0.125,"f","t","02","f","g","00000",5552,"-"
"a","30.50",6.5,"u","g","c","bb",4,"t","t","07","t","g","00000",3065,"+"
"b","44.33",0.5,"u","g","i","h",5,"t","f","0","t","g","00320",0,"+"
"a","20.83",0.5,"y","p","e","dd",1,"f","f","0","f","g","00260",0,"-"
"a","25.33",2.085,"u","g","c","h",2.75,"t","f","0","t","g","00360",1,"-"
"b","44.25",11,"y","p","d","v",1.5,"t","f","0","f","s","00000",0,"-"
"a","27.25",0.29,"u","g","m","h",0.125,"f","t","01","t","g","00272",108,"-"
"a","22.50",11,"y","p","q","v",3,"t","f","0","t","g","00268",0,"-"
"b","40.00",6.5,"u","g","aa","bb",3.5,"t","t","01","f","g","00000",500,"+"
"a","35.75",0.915,"u","g","aa","v",0.75,"t","t","04","f","g","00000",1583,"+"
"a","22.58",10.75,"u","g","q","v",0.415,"t","t","05","t","g","00000",560,"+"
"b","31.67",0.83,"u","g","x","v",1.335,"t","t","08","t","g","00303",3290,"+"
"b","34.50",4.04,"y","p","i","bb",8.5,"t","t","07","t","g","00195",0,"+"
"a","24.50",1.04,"y","p","ff","ff",0.5,"t","t","03","f","g","00180",147,"-"
"b","38.58",3.335,"u","g","w","v",4,"t","t","14","f","g","00383",1344,"+"
"b","41.17",1.25,"y","p","w","v",0.25,"f","f","0","f","g","00000",195,"-"
"a","28.58",1.665,"u","g","q","v",2.415,"t","f","0","t","g","00440",0,"-"
"b","27.25",1.585,"u","g","cc","h",1.835,"t","t","12","t","g","00583",713,"+"
"b","29.83",3.5,"u","g","c","v",0.165,"f","f","0","f","g","00216",0,"-"
"b","44.83",7,"y","p","c","v",1.625,"f","f","0","f","g","00160",2,"-"
"b","20.67",0.415,"u","g","c","v",0.125,"f","f","0","f","g","00000",44,"-"
"b","32.42",2.165,"y","p","k","ff",0,"f","f","0","f","g","00120",0,"-"
"b","27.83",1.5,"u","g","w","v",2.25,"f","t","01","t","g","00100",3,"-"
"?","40.83",3.5,"u","g","i","bb",0.5,"f","f","0","f","s","01160",0,"-"
"a","22.75",6.165,"u","g","aa","v",0.165,"f","f","0","f","g","00220",1000,"-"
"b","22.75",11.5,"u","g","i","v",0.415,"f","f","0","f","g","00000",0,"-"
"b","67.75",5.5,"u","g","e","z",13,"t","t","01","t","g","00000",0,"+"
"b","20.67",5.29,"u","g","q","v",0.375,"t","t","01","f","g","00160",0,"-"
"b","48.17",3.5,"u","g","aa","v",3.5,"t","f","0","f","s","00230",0,"+"
"b","33.58",2.75,"u","g","m","v",4.25,"t","t","06","f","g","00204",0,"+"
"a","?",3.5,"u","g","d","v",3,"t","f","0","t","g","00300",0,"-"
"a","60.92",5,"u","g","aa","v",4,"t","t","04","f","g","00000",99,"+"
"b","31.42",15.5,"u","g","c","v",0.5,"t","f","0","f","g","00120",0,"-"
"b","23.17",0,"?","?","?","?",0,"f","f","0","f","p","?",0,"+"
"b","26.25",1.54,"u","g","w","v",0.125,"f","f","0","f","g","00100",0,"-"
"b","17.58",10,"u","g","w","h",0.165,"f","t","01","f","g","00120",1,"-"
"b","34.67",1.08,"u","g","m","v",1.165,"f","f","0","f","s","00028",0,"-"
"b","33.17",1.04,"u","g","r","h",6.5,"t","f","0","t","g","00164",31285,"+"
"a","19.17",5.415,"u","g","i","h",0.29,"f","f","0","f","g","00080",484,"-"
"b","23.58",1.79,"u","g","c","v",0.54,"f","f","0","t","g","00136",1,"-"
"b","32.83",2.5,"u","g","cc","h",2.75,"t","t","06","f","g","00160",2072,"+"
"b","42.83",4.625,"u","g","q","v",4.58,"t","f","0","f","s","00000",0,"+"
"b","36.17",18.125,"u","g","w","v",0.085,"f","f","0","f","g","00320",3552,"-"
"b","42.17",5.04,"u","g","q","h",12.75,"t","f","0","t","g","00092",0,"+"
"b","22.67",2.54,"y","p","c","h",2.585,"t","f","0","f","g","00000",0,"+"
"b","33.67",1.25,"u","g","w","v",1.165,"f","f","0","f","g","00120",0,"-"
"b","22.08",11.46,"u","g","k","v",1.585,"f","f","0","t","g","00100",1212,"-"
"a","21.25",2.335,"u","g","i","bb",0.5,"t","t","04","f","s","00080",0,"+"
"b","19.67",10,"y","p","k","h",0.835,"t","f","0","t","g","00140",0,"-"
"b","23.50",2.75,"u","g","ff","ff",4.5,"f","f","0","f","g","00160",25,"-"
"b","18.58",5.71,"u","g","d","v",0.54,"f","f","0","f","g","00120",0,"-"
"a","36.00",1,"u","g","c","v",2,"t","t","11","f","g","00000",456,"+"
"b","73.42",17.75,"u","g","ff","ff",0,"t","f","0","t","g","00000",0,"+"
"b","23.75",12,"u","g","c","v",2.085,"f","f","0","f","s","00080",0,"-"
"a","20.42",0.835,"u","g","q","v",1.585,"t","t","01","f","g","00000",0,"+"
"a","56.83",4.25,"y","p","ff","ff",5,"f","f","0","t","g","00000",4,"-"
"b","18.17",10.25,"u","g","c","h",1.085,"f","f","0","f","g","00320",13,"-"
"a","53.33",0.165,"u","g","ff","ff",0,"f","f","0","t","s","00062",27,"-"
"a","51.92",6.5,"u","g","i","bb",3.085,"f","f","0","t","g","00073",0,"-"
"b","33.17",1,"u","g","x","v",0.75,"t","t","07","t","g","00340",4071,"+"
"b","49.50",7.585,"u","g","i","bb",7.585,"t","t","15","t","g","00000",5000,"+"
"b","25.00",12.5,"u","g","aa","v",3,"t","f","0","t","s","00020",0,"+"
"b","41.42",5,"u","g","q","h",5,"t","t","06","t","g","00470",0,"+"
"b","36.67",4.415,"y","p","k","v",0.25,"t","t","10","t","g","00320",0,"+"
"b","26.67",14.585,"u","g","i","bb",0,"f","f","0","t","g","00178",0,"-"
"b","31.25",1.125,"u","g","ff","ff",0,"f","t","01","f","g","00096",19,"-"
"a","36.75",5.125,"u","g","e","v",5,"t","f","0","t","g","00000",4000,"+"
"b","58.58",2.71,"u","g","c","v",2.415,"f","f","0","t","g","00320",0,"-"
"a","22.50",0.415,"u","g","i","v",0.335,"f","f","0","t","s","00144",0,"-"
